Platform,Status,watched_date_time,Video Link,Video Name,Channel Name,Channel Link,Rating,Duration,Length,Thumbnail,Likes,Views
YouTube,Watched,2024-08-07T05:17:59.127Z,https://www.youtube.com/watch?v=ng2o98k983k,Python Tutorial: Web Scraping with BeautifulSoup and Requests,Corey Schafer,https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g,,PT45M48S,,https://i.ytimg.com/vi/ng2o98k983k/default.jpg,23993,1121319
YouTube,Watched,2024-08-07T05:16:59.272Z,https://www.youtube.com/watch?v=dto8jGMxHxY,How to download your Youtube watch history,Kjell-Olov Högdahl,https://www.youtube.com/channel/UCpuIcds3-wG3eKqygdDvELQ,,PT3M20S,,https://i.ytimg.com/vi/dto8jGMxHxY/default.jpg,43,3232
YouTube,Watched,2024-08-06T17:26:53.664Z,https://www.youtube.com/watch?v=j57VWwe74VI,"#MotorolaEdge50: World’s Slimmest IP68 MIL-810H Military Grade @₹25,999* , Sale 8-Aug on @flipkart",Motorola India,https://www.youtube.com/channel/UCo2M-E3Xd9oIQoznNfCDGcA,,PT21S,,https://i.ytimg.com/vi/j57VWwe74VI/default.jpg,1,553708
YouTube,Watched,2024-08-06T17:21:19.313Z,https://www.youtube.com/watch?v=1f9ReAtnYGU,Full Refund word replace,codebasics_hub,https://www.youtube.com/channel/UCc5Mfxuhmvr44QcSbo3_SUA,,PT22S,,https://i.ytimg.com/vi/1f9ReAtnYGU/default.jpg,0,626
YouTube,Watched,2024-08-06T17:21:18.127Z,https://www.youtube.com/watch?v=3WoqmI2u02Q,Get Started on Google Cloud for Free,Google Cloud,https://www.youtube.com/channel/UCTMRxtyHoE3LPcrl-kT4AQQ,,PT31S,,https://i.ytimg.com/vi/3WoqmI2u02Q/default.jpg,5675,467180
YouTube,Watched,2024-08-06T16:51:02.496Z,https://www.youtube.com/watch?v=ng2o98k983k,Python Tutorial: Web Scraping with BeautifulSoup and Requests,Corey Schafer,https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g,,PT45M48S,,https://i.ytimg.com/vi/ng2o98k983k/default.jpg,23993,1121319
YouTube,Watched,2024-08-06T16:48:24.002Z,https://www.youtube.com/watch?v=bargNl2WeN4,BeautifulSoup + Requests | Web Scraping in Python,Alex The Analyst,https://www.youtube.com/channel/UC7cs8q-gJRlGwj4A8OmCmXg,,PT6M58S,,https://i.ytimg.com/vi/bargNl2WeN4/default.jpg,2306,120120
YouTube,Watched,2024-08-06T16:48:17.901Z,https://www.youtube.com/watch?v=zqvpEUNTajQ,Evergreen_16x9_AWS_30s_la.EN,Udemy,https://www.youtube.com/channel/UCzw4hbQIePVtyJQzE_F8QDg,,PT31S,,https://i.ytimg.com/vi/zqvpEUNTajQ/default.jpg,,8691464
YouTube,Watched,2024-08-06T16:44:43.063Z,https://www.youtube.com/watch?v=5LLB1Lhdot0,ரயில்வே Track | சிக்கிய மாட்டின் கால் | காப்பாற்றிய வீரர்,THENI Sadham,https://www.youtube.com/channel/UCYD2SfXZFyg-EpFBkKKhbRw,,PT51S,,https://i.ytimg.com/vi/5LLB1Lhdot0/default.jpg,271755,4440356
YouTube,Watched,2024-08-06T16:44:03.360Z,https://www.youtube.com/watch?v=pvxZA3WQwm4,வினோதமான No Ball போட்ட Shane Warne!😱 #shorts #cricket,Zig Zager,https://www.youtube.com/channel/UCSzdzWhHp6DmQUpVV5L1hfw,,PT39S,,https://i.ytimg.com/vi/pvxZA3WQwm4/default.jpg,,645234
YouTube,Watched,2024-08-06T16:43:19.295Z,https://www.youtube.com/watch?v=9DTPcy_bRWQ,"What Evidence Shows That Children Are the Future?""",InspireWithRise,https://www.youtube.com/channel/UCajold_ocr1Ma89fOhlU0Zw,,PT44S,,https://i.ytimg.com/vi/9DTPcy_bRWQ/default.jpg,769538,17973638
YouTube,Watched,2024-08-06T16:43:18.369Z,https://www.youtube.com/watch?v=XlHlu-nKjdM,ChatGPT & AI Hacks in MS Office Workshop - Sign Up Now!,Jatan Shah,https://www.youtube.com/channel/UCP0ap2XWcmYornLeoi2CBzA,,PT58S,,https://i.ytimg.com/vi/XlHlu-nKjdM/default.jpg,12197,344227
YouTube,Watched,2024-08-06T16:43:16.963Z,https://www.youtube.com/watch?v=2sjVMcbH6fk,Give 1 Like to our Indian Athletes #athletics #1500meter #sports #olympics #nellaisports #viral,Nellai Sports,https://www.youtube.com/channel/UC91ijAXZ_4yteyNUcwGEzDA,,PT1M,,https://i.ytimg.com/vi/2sjVMcbH6fk/default.jpg,50371,535412
YouTube,Watched,2024-08-06T16:42:38.370Z,https://www.youtube.com/watch?v=QeuMiIvx8QE,Defence is ART 🔥x DHONI #shorts#apexpulseagency,Dhonilty,https://www.youtube.com/channel/UCIQ84KzBOfYGJKhkh5UfEUQ,,PT24S,,https://i.ytimg.com/vi/QeuMiIvx8QE/default.jpg,1223,23578
