Channel_Id,Name,Subscribers,Total_views,Joined,Category
UC-O3_F-UpwzKvSkvO0DW9qg,HR_Navin,121000,13367759,2016-05-04T16:57:01Z,N/A
UC0gHrWWtRgkQ3ZS1IY2cJrA,RK Games Bond,137000,16996857,2021-09-19T04:45:52.169298Z,N/A
UC14aFPpH4jF3FfRQZojCfeg,Words of Wisdom,1080000,103238584,2020-04-14T06:19:22.597265Z,N/A
UC2J_VKrAzOEJuQvFFtj3KUw,Chennai Super Kings,3830000,786669886,2009-04-17T13:00:30Z,N/A
UC2MHTOXktfTK26aDKyQs3cQ,Windies Cricket,3950000,1264468902,2017-10-20T00:49:37Z,N/A
UC38z3fT9RO4yugLJoCZLygw,Behindwoods O2,3650000,544207895,2021-09-11T12:08:37.179036Z,N/A
UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,44600000,11218129431,2017-03-15T11:17:50Z,N/A
UC4vgd34lbz4rMekxNfmxOIg,The Book Show,711000,66266714,2019-09-19T06:14:05Z,N/A
UC5EQWvy59VeHPJz8mDALPxg,Mic Set,8240000,668766300,2017-07-05T18:24:42Z,N/A
UC5wuaJnklgYnbJIeTVhPWug,Rithu Rocks,2680000,349215083,2017-09-10T14:14:25Z,N/A
UC6NK95qassTilrIVwD5oA7Q,Theneer Idaivelai,2670000,682067139,2019-05-06T15:53:44Z,N/A
UC6_LSDiZaiS_pAvO7MRiAUg,Praveen 🤍,22000,11669287,2019-07-05T17:35:01Z,N/A
UC6uQJTQpLGmEiLyaL4owhgg,Dhiya Here,4540,1820076,2022-08-08T12:57:07.257381Z,N/A
UC7beWKhXaZuRpD-oKQj852g,Rahul M,701000,68831852,2016-07-23T07:17:08Z,N/A
UC8_aMwsn53tncdH-5iLu8-w,Empty Hand,1830000,358928963,2019-04-05T07:01:05Z,N/A
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,9790000,746463461,2014-12-16T21:18:48Z,N/A
UC8uU_wruBMHeeRma49dtZKA,Chandoo,636000,49715231,2009-05-02T06:44:42Z,N/A
UC9CohF5QlJr3md4h9iTLzOg,POC English,2890000,323532752,2021-07-26T12:33:50.762692Z,N/A
